plant_name,status,country,city,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
TS United Metal,,Malaysia,ALOR  GAJAH,16/5/2024,25.155,11.27,5.22,131.31,66475.59,5.22,1,5.22,4.698,No comparison required,0,FALSE
Sedania Bank Islam Bandar Penawar Meter 1,,Malaysia,BANDAR PENAWAR,28/4/2025,15.47,0,0,0,0,0,2,0,0,Normal,,FALSE
Sedania Bank Islam Bandar Penawar Meter 2,,Malaysia,BANDAR PENAWAR,29/4/2025,15.47,0,0,0,0,0,2,0,0,Normal,,FALSE
Komplex PKNS Bangi,,Malaysia,BANGI,4/9/2024,379.08,9.1,3.67,1390.51,411367.73,3.67,1,3.67,3.303,No comparison required,0,FALSE
Jiann Lih safety product,,Malaysia,BANTING,21/3/2024,475.605,90.03,4.81,2285.37,766651.87,4.81,1,4.81,4.329,No comparison required,0,FALSE
C0102_QL batang kali,,Malaysia,BATANG KALI,24/2/2022,526,0,0,0,0,0,1,0,0,No comparison required,,FALSE
BP PLASTICS BP9,,Malaysia,BATU PAHAT,22/7/2025,2979.1,870.66,3.92,11665.93,2926844.99,3.92,3,3.393333333,3.054,Normal,15.52,FALSE
BP PLASTICS HQ,,Malaysia,BATU PAHAT,16/1/2025,1063.425,0,2.06,2186.51,1700464.78,2.06,3,3.393333333,3.054,Underperforming,-39.29,TRUE
CK PACKAGING AND PLASTIC INDUSTRIES,,Malaysia,BATU PAHAT,19/1/2026,138.88,43.18,4.2,583.87,41428.27,4.2,3,3.393333333,3.054,Normal,23.77,FALSE
GUH METER 1,,Malaysia,BAYAN LEPAS,29/4/2024,210.6,102.85,4.09,860.67,509119.39,4.09,3,3.976666667,3.579,Normal,2.85,FALSE
GUH METER 2,,Malaysia,BAYAN LEPAS,29/4/2024,278.46,127.75,3.94,1097.66,633288.67,3.94,3,3.976666667,3.579,Normal,-0.92,FALSE
GUH METER 3,,Malaysia,BAYAN LEPAS,4/5/2024,534.69,248.41,3.9,2087.53,1250303.13,3.9,3,3.976666667,3.579,Normal,-1.93,FALSE
Telewiring,,Malaysia,CHENG,16/5/2024,25.155,6.66,4.82,121.22,63152.7,4.82,1,4.82,4.338,No comparison required,0,FALSE
C0176_GETHA,,Malaysia,CHERAS,1/3/2023,178.215,2.23,2.89,515.28,577667.93,2.89,1,2.89,2.601,No comparison required,0,FALSE
C0172_ATRIA NORTH,,Malaysia,DAMANSARA,6/6/2023,130.8,4.11,2.2,288,378500.59,2.2,3,2.13,1.917,Normal,3.29,FALSE
C0172_ATRIA SOUTH,,Malaysia,DAMANSARA,6/6/2023,287.76,8.97,2.31,665.81,827979.53,2.31,3,2.13,1.917,Normal,8.45,FALSE
Restoran Chimaek (Kfry),,Malaysia,DAMANSARA,25/10/2024,24.4,1.14,1.88,45.98,45827.28,1.88,3,2.13,1.917,Underperforming,-11.74,TRUE
QL ENDAU DEEP SEA FISHING,,Malaysia,ENDAU,4/9/2025,897.76,173.1,3.17,2843.37,525892.93,3.17,1,3.17,2.853,No comparison required,0,FALSE
PROGUARD SAFETY MANUFACTURING SDN BHD,,Malaysia,HULU LANGAT,30/12/2022,202.195,2.49,2.66,537.28,556783.18,2.66,1,2.66,2.394,No comparison required,0,FALSE
GLASS PLASTIC PACKAGING,,Malaysia,IPOH,19/4/2025,704.94,21.39,3.38,2383.91,795675.25,3.38,3,2.896666667,2.607,Normal,16.69,FALSE
SWH INDUSTRIES (PLOT 132113),,Malaysia,IPOH,21/5/2024,752.98,24.2,2.84,2141.98,1648015.73,2.84,3,2.896666667,2.607,Normal,-1.96,FALSE
SWH INDUSTRIES (PLOT6311),,Malaysia,IPOH,15/1/2025,204.96,9.26,2.47,506.7,315402.67,2.47,3,2.896666667,2.607,Underperforming,-14.73,TRUE
Pleasure Latex,,Malaysia,JERAM,25/7/2023,520.3,108.34,2.92,1518.86,1684226.28,2.92,2,1.46,1.314,Normal,100,FALSE
Pleasure Latex Phase 2,,Malaysia,JERAM,20/12/2024,1010.295,0,0,0,0,0,2,1.46,1.314,Underperforming,-100,TRUE
FOX ONE LOT 14,,Malaysia,KAJANG,13/8/2025,91.76,2.9,4.08,374.48,55332.92,4.08,9,3.581111111,3.223,Normal,13.93,FALSE
