plant_name,status,country,city,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city_plant_count,city_avg_psh,threshold_psh,psh_deviation_pct_vs_city_avg,underperforming,performance_status
TS United Metal,Normal,Malaysia,ALOR  GAJAH,2024-05-16,25.155,12.08,1.48,37.24,67395.06,1.48,1,1.48,1.332,0.0,False,No comparison required
Sedania Bank Islam Bandar Penawar Meter 1,Offline,Malaysia,BANDAR PENAWAR,2025-04-28,15.47,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,,False,Normal
Sedania Bank Islam Bandar Penawar Meter 2,Offline,Malaysia,BANDAR PENAWAR,2025-04-29,15.47,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,,False,Normal
Komplex PKNS Bangi,Normal,Malaysia,BANGI,2024-09-04,379.08,282.7,1.73,656.7,418946.8,1.73,1,1.73,1.557,0.0,False,No comparison required
Jiann Lih safety product,Normal,Malaysia,BANTING,2024-03-21,475.605,67.26,1.62,770.94,781616.76,1.62,1,1.62,1.4580000000000002,0.0,False,No comparison required
C0102_QL batang kali,Offline,Malaysia,BATANG KALI,2022-02-24,526.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,,False,No comparison required
BP PLASTICS BP9,Normal,Malaysia,BATU PAHAT,2025-07-22,2979.1,2426.54,2.04,6085.25,3022646.99,2.04,3,1.3233333333333333,1.191,54.16,False,Normal
BP PLASTICS HQ,Normal,Malaysia,BATU PAHAT,2025-01-16,1063.425,0.0,0.0,0.0,1732126.04,0.0,3,1.3233333333333333,1.191,-100.0,True,Underperforming
CK PACKAGING AND PLASTIC INDUSTRIES,Normal,Malaysia,BATU PAHAT,2026-01-19,138.88,71.79,1.93,268.43,46061.91,1.93,3,1.3233333333333333,1.191,45.84,False,Normal
GUH METER 1,Normal,Malaysia,BAYAN LEPAS,2024-04-29,210.6,3.12,0.56,117.93,515859.96,0.56,3,0.5433333333333333,0.489,3.07,False,Normal
GUH METER 2,Normal,Malaysia,BAYAN LEPAS,2024-04-29,278.46,3.9,0.54,149.18,641894.36,0.54,3,0.5433333333333333,0.489,-0.61,False,Normal
GUH METER 3,Normal,Malaysia,BAYAN LEPAS,2024-05-04,534.69,7.76,0.53,285.5,1261234.7,0.53,3,0.5433333333333333,0.489,-2.45,False,Normal
Telewiring,Normal,Malaysia,CHENG,2024-05-16,25.155,22.0,1.59,40.08,63976.86,1.59,1,1.59,1.431,0.0,False,No comparison required
C0176_GETHA,Normal,Malaysia,CHERAS,2023-03-01,178.215,63.53,1.66,295.56,582760.7,1.66,1,1.66,1.494,0.0,False,No comparison required
