plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
TS United Metal,Normal,Malaysia,16/5/2024,25.155,14.47,4.91,123.59,67711.43,4.91,ALOR  GAJAH,1,4.91,4.419,No comparison required,0,FALSE
BIMB Bdr Penawar -  1st Floor,Offline,Malaysia,28/4/2025,15.47,0,0,0,48.19,0,BANDAR PENAWAR,2,1.97,1.773,Underperforming,-100,TRUE
BIMB Bdr Penawar -  G Floor,Normal,Malaysia,29/4/2025,15.47,9.06,3.94,60.94,140.49,3.94,BANDAR PENAWAR,2,1.97,1.773,Normal,100,FALSE
Komplex PKNS Bangi,Normal,Malaysia,4/9/2024,379.08,31.56,3.8,1442.25,421929.52,3.8,BANGI,1,3.8,3.42,No comparison required,0,FALSE
Jiann Lih safety product,Normal,Malaysia,21/3/2024,475.605,254.46,4.6,2188.44,785631.89,4.6,BANTING,1,4.6,4.14,No comparison required,0,FALSE
C0102_QL batang kali,Offline,Malaysia,24/2/2022,526,0,0,0,0,0,BATANG KALI,1,0,0,No comparison required,,FALSE
BP PLASTICS BP9,Normal,Malaysia,22/7/2025,2979.1,1593.86,4.53,13497.4,3053539.34,4.53,BATU PAHAT,3,3.89,3.501,Normal,16.45,FALSE
BP PLASTICS HQ,Normal,Malaysia,16/1/2025,1063.425,0,2.38,2534.22,1742142.71,2.38,BATU PAHAT,3,3.89,3.501,Underperforming,-38.82,TRUE
CK PACKAGING AND PLASTIC INDUSTRIES,Normal,Malaysia,19/1/2026,138.88,74.04,4.76,660.52,47594.91,4.76,BATU PAHAT,3,3.89,3.501,Normal,22.37,FALSE
GUH METER 1,Normal,Malaysia,29/4/2024,210.6,118.08,4.73,995.88,517840.69,4.73,BAYAN LEPAS,3,4.65,4.185,Normal,1.72,FALSE
GUH METER 2,Normal,Malaysia,29/4/2024,278.46,151.71,4.64,1291.85,644423.95,4.64,BAYAN LEPAS,3,4.65,4.185,Normal,-0.22,FALSE
GUH METER 3,Normal,Malaysia,4/5/2024,534.69,286.51,4.58,2450.16,1271540.75,4.58,BAYAN LEPAS,3,4.65,4.185,Normal,-1.51,FALSE
Telewiring,Normal,Malaysia,16/5/2024,25.155,11.63,4.82,121.23,64273.08,4.82,CHENG,1,4.82,4.338,No comparison required,0,FALSE
C0176_GETHA,Normal,Malaysia,1/3/2023,178.215,28.46,4.03,717.93,584126.1,4.03,CHERAS,1,4.03,3.627,No comparison required,0,FALSE
C0172_ATRIA NORTH,Normal,Malaysia,6/6/2023,130.8,53.72,3.61,472.59,383013.94,3.61,DAMANSARA,3,3.766666667,3.39,Normal,-4.16,FALSE
C0172_ATRIA SOUTH,Normal,Malaysia,6/6/2023,287.76,65.52,3.81,1095.58,838377.15,3.81,DAMANSARA,3,3.766666667,3.39,Normal,1.15,FALSE
Restoran Chimaek (Kfry),Normal,Malaysia,25/10/2024,24.4,5.28,3.88,94.55,46800.18,3.88,DAMANSARA,3,3.766666667,3.39,Normal,3.01,FALSE
QL ENDAU DEEP SEA FISHING,Normal,Malaysia,4/9/2025,897.76,490.68,4.17,3744.59,561192.58,4.17,ENDAU,1,4.17,3.753,No comparison required,0,FALSE
PROGUARD SAFETY MANUFACTURING SDN BHD,Normal,Malaysia,30/12/2022,202.195,91.43,2.81,567.38,563061.65,2.81,HULU LANGAT,1,2.81,2.529,No comparison required,0,FALSE
GLASS PLASTIC PACKAGING,Normal,Malaysia,19/4/2025,704.94,41.87,3.41,2402.27,823332.46,3.41,IPOH,3,3.2,2.88,Normal,6.56,FALSE
SWH INDUSTRIES (PLOT 132113),Normal,Malaysia,21/5/2024,752.98,71.82,3.25,2450.03,1672264.3,3.25,IPOH,3,3.2,2.88,Normal,1.56,FALSE
SWH INDUSTRIES (PLOT6311),Normal,Malaysia,15/1/2025,204.96,29.43,2.94,603.22,322128.65,2.94,IPOH,3,3.2,2.88,Normal,-8.12,FALSE
Pleasure Latex,Normal,Malaysia,25/7/2023,520.3,244.65,4.13,2146.91,1705858.63,4.13,JERAM,2,2.065,1.8585,Normal,100,FALSE
Pleasure Latex Phase 2,Offline,Malaysia,20/12/2024,1010.295,0,0,0,0,0,JERAM,2,2.065,1.8585,Underperforming,-100,TRUE
FOX ONE LOT 14,Normal,Malaysia,13/8/2025,91.76,53.87,4.25,389.7,59161.07,4.25,KAJANG,9,3.858888889,3.473,Normal,10.14,FALSE
FOX ONE LOT 8,Normal,Malaysia,28/1/2026,91.76,57.07,4.26,390.5,20426.25,4.26,KAJANG,9,3.858888889,3.473,Normal,10.39,FALSE
